,source,source_str,relation,name,dst_str,dst
0,1,1-up_Doll.html,item_from,Zelda II,,
1,1,1-up_Doll.html,live_in,which,,
2,2,100th_Ring.html,obtain_from,Vasu,Vasu.html,8270.0
3,2,100th_Ring.html,obtain_by,end,,
4,3,15-second_Game.html,locat_from,The Legend of Zelda,,
5,36,2nd_Potion.html,item_from,the The Legend of Zelda,,
6,40,A_Brother's_Roast.html,quest_in,The Legend of Zelda:,,
7,40,A_Brother's_Roast.html,obtain_from,Bladon,Bladon.html,532.0
8,41,A_Curry_for_What_Ails_You.html,quest_in,The Legend of Zelda:,,
9,41,A_Curry_for_What_Ails_You.html,given_to,Link,Link.html,4550.0
10,42,A_Fragmented_Monument.html,quest_in,The Legend of Zelda:,,
11,42,A_Fragmented_Monument.html,given_to,Link,Link.html,4550.0
12,43,A_Freezing_Rod.html,quest_in,The Legend of Zelda:,,
13,43,A_Freezing_Rod.html,given_to,Link,Link.html,4550.0
14,44,A_Gift_for_My_Beloved.html,quest_in,The Legend of Zelda:,,
15,44,A_Gift_for_My_Beloved.html,given_to,Link,Link.html,4550.0
16,44,A_Gift_for_My_Beloved.html,given_by,Manny,Manny_(Breath_of_the_Wild).html,4880.0
17,45,A_Gift_for_the_Great_Fairy.html,quest_in,The Legend of Zelda:,,
18,45,A_Gift_for_the_Great_Fairy.html,given_to,Link,Link.html,4550.0
19,46,A_Gift_from_the_Monks.html,quest_in,The Legend of Zelda:,,
20,46,A_Gift_from_the_Monks.html,given_to,Link,Link.html,4550.0
21,47,A_Gift_of_Nightshade.html,quest_in,The Legend of Zelda:,,
22,47,A_Gift_of_Nightshade.html,given_to,Link,Link.html,4550.0
23,50,A_Landscape_of_a_Stable.html,quest_in,The Legend of Zelda:,,
24,50,A_Landscape_of_a_Stable.html,given_to,Link,Link.html,4550.0
25,51,A_Link_Between_Worlds.html,releas_in,late 2013,,
26,51,A_Link_Between_Worlds.html,releas_in,North America,,
27,51,A_Link_Between_Worlds.html,releas_in,Japan,,
28,52,A_Link_to_the_Past.html,releas_in,Japan,,
29,52,A_Link_to_the_Past.html,releas_in,North America,,
30,56,A_New_Day.html,defeat_in,The Legend of Zelda,,
31,57,A_Parent's_Love.html,quest_in,The Legend of Zelda:,,
32,58,A_Rare_Find.html,quest_in,The Legend of Zelda:,,
33,58,A_Rare_Find.html,given_to,Link,Link.html,4550.0
34,59,A_Royal_Recipe.html,quest_in,The Legend of Zelda:,,
35,59,A_Royal_Recipe.html,given_to,Link,Link.html,4550.0
36,60,A_Shady_Customer.html,quest_in,The Legend of Zelda:,,
37,60,A_Shady_Customer.html,given_to,Link,Link.html,4550.0
38,61,A_Song_of_Storms.html,quest_from,The Legend of Zelda:,,
39,61,A_Song_of_Storms.html,given_to,Link,Link.html,4550.0
40,62,A_Wife_Washed_Away.html,quest_in,The Legend of Zelda: Breath of the Wild,The_Legend_of_Zelda__Breath_of_the_Wild.html,7701.0
41,62,A_Wife_Washed_Away.html,given_to,Link,Link.html,4550.0
42,63,Aba.html,charact_from,Rosy Rupeeland,,
43,63,Aba.html,live_in,Deku Forest,Deku_Forest.html,1968.0
44,63,Aba.html,live_with,father,,
45,64,Abandoned_North_Mine.html,locat_in,The Legend of Zelda:,,
46,64,Abandoned_North_Mine.html,locat_in,region,,
47,64,Abandoned_North_Mine.html,region_of,Hyrule,Hyrule.html,3766.0
48,65,Abe.html,charact_from,The Legend of Zelda,,
49,65,Abe.html,live_on,Outset Island,Outset_Island.html,5639.0
50,65,Abe.html,live_with,wife,,
51,66,Aboda_Village.html,locat_from,The Legend of Zelda,,
52,66,Aboda_Village.html,locat_of,home,Link%27s_House.html#The_Legend_of_Zelda:_Spirit_Tracks,4545.0
53,66,Aboda_Village.html,locat_in,area,,
54,68,Ache.html,enemi_from,Zelda II,,
55,69,Acheman.html,enemi_from,Zelda II,,
56,70,Acorn.html,item_from,The Legend of Zelda:,,
57,71,Acro-Bandit.html,enemi_from,The Legend of Zelda,,
58,73,Adult's_Wallet.html,item_in,Legend,,
59,76,Adventure_Pouch.html,item_from,The Legend of Zelda,,
60,76,Adventure_Pouch.html,obtain_from,Beedle's Air Shop,Beedle%27s_Air_Shop.html,429.0
61,79,Afromsia_Coast.html,locat_in,region,,
62,79,Afromsia_Coast.html,region_of,Hyrule,Hyrule.html,3766.0
63,81,Agahnim_(A_Link_to_the_Past).html,boss_in,The Legend of Zelda,,
64,82,Agahnim_(Oracle_of_Seasons).html,boss_of,Dungeon,Dungeon.html,2220.0
65,85,Aginah.html,charact_from,The Legend of Zelda,,
66,85,Aginah.html,live_in,cave,,
67,86,Agitha%2FHyrule_Warriors.html,charact_from,Hyrule Warriors,../Hyrule_Warriors.html,3801.0
68,88,Agitha's_Castle.html,locat_from,The Legend of Zelda:,,
69,88,Agitha's_Castle.html,locat_in,part,,
70,88,Agitha's_Castle.html,live_with,bugs,,
71,89,Agitha's_Pendant.html,worn_by,Agitha,Agitha.html,90.0
72,90,Agitha.html,charact_from,The Legend of Zelda:,,
73,90,Agitha.html,live_in,castle,Agitha%27s_Castle.html,88.0
74,91,Agus.html,charact_from,The Legend of Zelda:,,
75,91,Agus.html,region_of,Hyrule,Hyrule.html,3766.0
76,92,Air_Potion.html,item_from,The Legend of Zelda,,
77,93,Aji.html,charact_from,The Legend of Zelda:,,
78,94,Akh_Va'quot.html,charact_from,The Legend of Zelda:,,
79,95,Akh_Va'quot_Shrine.html,shrine_from,The Legend of Zelda:,,
80,96,Akira_Himekawa.html,publish_in,1999,1999.html,17.0
81,96,Akira_Himekawa.html,publish_by,Shogakukan,,
82,96,Akira_Himekawa.html,publish_in,english,,
83,96,Akira_Himekawa.html,publish_by,Viz Media,,
84,96,Akira_Himekawa.html,publish_in,2008,2015.html,33.0
85,96,Akira_Himekawa.html,releas_in,Japan,,
86,96,Akira_Himekawa.html,releas_on,August 2015,,
87,97,Akkala.html,locat_from,The Legend of Zelda:,,
88,97,Akkala.html,locat_in,part,East_Akkala_Stable.html,2264.0
89,98,Akkala_Ancient_Tech_Lab.html,locat_in,The Legend of Zelda:,,
90,99,Akkala_Bridge_Ruins.html,locat_in,The Legend of Zelda:,,
91,99,Akkala_Bridge_Ruins.html,locat_in,the Akkala Highlands region,,
92,100,Akkala_Buns.html,item_in,The Legend of Zelda:,,
93,101,Akkala_Citadel.html,locat_from,The Legend of Zelda:,,
94,101,Akkala_Citadel.html,locat_in,the Akkala Highlands region,,
95,101,Akkala_Citadel.html,locat_in,the Akkala Highlands,,
96,102,Akkala_Citadel_Ruins.html,locat_from,The Legend of Zelda:,,
97,102,Akkala_Citadel_Ruins.html,locat_in,the Akkala Highlands region,,
98,102,Akkala_Citadel_Ruins.html,locat_in,the Akkala Highlands,,
99,103,Akkala_Falls.html,locat_in,The Legend of Zelda:,,
100,103,Akkala_Falls.html,locat_in,the Akkala Highlands region,,
