,from,relationship,to
0,1,FIRST_APPEARANCE,8636
1,1,FIRST_APPEARANCE,6
2,1,FOUND,3766
3,1,USE,4550
4,2,FIRST_APPEARANCE,7747
5,2,FIRST_APPEARANCE,7753
6,2,FIRST_APPEARANCE,19
7,2,FOUND,8271
8,3,FIRST_APPEARANCE,7694
9,3,FIRST_APPEARANCE,10
10,3,LOCATION,4055
11,3,PRIZE,5801
12,36,FIRST_APPEARANCE,7673
13,36,FIRST_APPEARANCE,5
14,37,MANUFACTURER,5450
15,37,RELEASED,29
16,38,FIRST_APPEARANCE,3801
17,38,FIRST_APPEARANCE,32
18,38,FOUND,75
19,38,USE,5914
20,38,USE,4486
21,38,USE,5248
22,38,USE,7416
23,38,USE,2470
24,38,USE,1931
25,38,USE,7468
26,39,FIRST_APPEARANCE,3801
27,39,FIRST_APPEARANCE,32
28,39,FOUND,75
29,39,USE,5914
30,39,USE,3127
31,46,FIRST_APPEARANCE,7701
32,46,FIRST_APPEARANCE,35
33,46,GIVER,6822
34,46,TYPE,6055
35,46,LOCATION,2745
36,46,REWARDS,860
37,46,REWARDS,8156
38,46,REWARDS,8134
39,48,APPEARANCES,7782
40,48,APPEARANCES,23
41,48,FOUND,4954
42,49,APPEARANCES,7782
43,49,APPEARANCES,23
44,49,FOUND,4021
45,51,PUBLISHER,5450
46,51,PLATFORM,5451
47,52,DEVELOPER,5450
48,52,PUBLISHER,5450
49,52,DESIGNER,7517
50,52,DESIGNER,8578
51,52,DESIGNER,6854
52,52,PLATFORM,7423
53,52,PLATFORM,2867
54,52,PLATFORM,8305
55,52,MEDIA,7423
56,52,MEDIA,2867
57,52,MEDIA,8305
58,60,FIRST_APPEARANCE,7701
59,60,FIRST_APPEARANCE,35
60,60,GIVER,3722
61,60,TYPE,6055
62,60,LOCATION,2264
63,60,REWARDS,6442
64,61,FIRST_APPEARANCE,7701
65,61,FIRST_APPEARANCE,35
66,61,GIVER,4088
67,61,TYPE,6055
68,61,LOCATION,821
69,61,REWARDS,6425
70,63,FIRST_APPEARANCE,2786
71,63,FIRST_APPEARANCE,24
72,63,HOMELAND,2619
73,63,KINDRED,255
74,63,KINDRED,4029
75,63,RACE,3745
76,64,FIRST_APPEARANCE,7701
77,64,FIRST_APPEARANCE,35
78,64,COUNTRY,3766
79,64,REGION,2323
80,65,FIRST_APPEARANCE,7789
81,65,FIRST_APPEARANCE,21
82,65,HOMELAND,3345
83,65,HOMETOWN,5639
84,65,KINDRED,6374
85,65,KINDRED,3997
86,65,KINDRED,8653
87,65,RACE,3745
88,66,FIRST_APPEARANCE,7776
89,66,FIRST_APPEARANCE,27
90,66,COUNTRY,5425
91,66,REGION,2727
92,66,POINT_OF_INTEREST,4545
93,66,POINT_OF_INTEREST,7276
94,66,INHABITANTS,114
95,66,INHABITANTS,5445
96,66,INHABITANTS,4550
97,66,INHABITANTS,4831
98,67,FIRST_APPEARANCE,7795
99,67,FIRST_APPEARANCE,33
100,67,COUNTRY,3814
101,67,REGION,6282
102,68,FIRST_APPEARANCE,8636
103,68,FIRST_APPEARANCE,6
104,68,EFFECTIVE_WEAPON,7464
105,69,FIRST_APPEARANCE,8636
106,69,FIRST_APPEARANCE,6
107,69,EFFECTIVE_WEAPON,7464
108,70,FIRST_APPEARANCE,7701
109,70,FIRST_APPEARANCE,35
110,70,FOUND,7231
111,70,USE,2704
112,70,USE,1693
113,71,FIRST_APPEARANCE,7782
114,71,FIRST_APPEARANCE,23
115,71,EFFECTIVE_WEAPON,7464
116,72,FIRST_APPEARANCE,7747
117,72,FIRST_APPEARANCE,19
118,72,HOMELAND,4320
119,72,RACE,3729
120,73,FIRST_APPEARANCE,7736
121,73,FIRST_APPEARANCE,16
122,73,APPEARANCES,7736
123,73,APPEARANCES,7727
124,73,FOUND,3717
125,73,FOUND,8408
126,73,FOUND,3281
127,73,USE,6442
128,74,FIRST_APPEARANCE,7747
129,74,FIRST_APPEARANCE,7753
130,74,FIRST_APPEARANCE,19
131,74,LOCATION,4727
132,74,LOCATION,3691
133,74,WARES,6709
134,74,WARES,2919
135,74,OWNER,7318
