id,page,type
1,1-up_Doll.html,CHARACTER
1,1-up_Doll.html,ITEM
2,100th_Ring.html,ITEM
3,15-second_Game.html,LOCATION
36,2nd_Potion.html,ITEM
40,A_Brother's_Roast.html,QUEST
40,A_Brother's_Roast.html,ITEM
41,A_Curry_for_What_Ails_You.html,QUEST
41,A_Curry_for_What_Ails_You.html,ITEM
42,A_Fragmented_Monument.html,QUEST
42,A_Fragmented_Monument.html,ITEM
43,A_Freezing_Rod.html,QUEST
43,A_Freezing_Rod.html,ITEM
44,A_Gift_for_My_Beloved.html,QUEST
44,A_Gift_for_My_Beloved.html,ITEM
45,A_Gift_for_the_Great_Fairy.html,QUEST
45,A_Gift_for_the_Great_Fairy.html,ITEM
46,A_Gift_from_the_Monks.html,QUEST
46,A_Gift_from_the_Monks.html,ITEM
47,A_Gift_of_Nightshade.html,QUEST
47,A_Gift_of_Nightshade.html,ITEM
50,A_Landscape_of_a_Stable.html,QUEST
50,A_Landscape_of_a_Stable.html,ITEM
51,A_Link_Between_Worlds.html,VIDEOGAME
52,A_Link_to_the_Past.html,VIDEOGAME
56,A_New_Day.html,CHARACTER
57,A_Parent's_Love.html,QUEST
58,A_Rare_Find.html,QUEST
58,A_Rare_Find.html,ITEM
59,A_Royal_Recipe.html,QUEST
59,A_Royal_Recipe.html,ITEM
60,A_Shady_Customer.html,QUEST
60,A_Shady_Customer.html,ITEM
61,A_Song_of_Storms.html,QUEST
61,A_Song_of_Storms.html,ITEM
62,A_Wife_Washed_Away.html,QUEST
62,A_Wife_Washed_Away.html,ITEM
63,Aba.html,CHARACTER
64,Abandoned_North_Mine.html,LOCATION
65,Abe.html,CHARACTER
66,Aboda_Village.html,LOCATION
68,Ache.html,ENEMY
68,Ache.html,CHARACTER
69,Acheman.html,ENEMY
69,Acheman.html,CHARACTER
70,Acorn.html,ITEM
71,Acro-Bandit.html,ENEMY
71,Acro-Bandit.html,CHARACTER
73,Adult's_Wallet.html,ITEM
76,Adventure_Pouch.html,ITEM
79,Afromsia_Coast.html,LOCATION
81,Agahnim_(A_Link_to_the_Past).html,ENEMY
81,Agahnim_(A_Link_to_the_Past).html,CHARACTER
82,Agahnim_(Oracle_of_Seasons).html,ENEMY
82,Agahnim_(Oracle_of_Seasons).html,CHARACTER
85,Aginah.html,CHARACTER
86,Agitha%2FHyrule_Warriors.html,CHARACTER
88,Agitha's_Castle.html,LOCATION
88,Agitha's_Castle.html,CHARACTER
89,Agitha's_Pendant.html,ITEM
90,Agitha.html,CHARACTER
91,Agus.html,LOCATION
91,Agus.html,CHARACTER
92,Air_Potion.html,ITEM
93,Aji.html,CHARACTER
94,Akh_Va'quot.html,CHARACTER
95,Akh_Va'quot_Shrine.html,LOCATION
95,Akh_Va'quot_Shrine.html,SHRINE
96,Akira_Himekawa.html,VIDEOGAME
97,Akkala.html,LOCATION
98,Akkala_Ancient_Tech_Lab.html,LOCATION
99,Akkala_Bridge_Ruins.html,LOCATION
100,Akkala_Buns.html,ITEM
101,Akkala_Citadel.html,LOCATION
102,Akkala_Citadel_Ruins.html,LOCATION
103,Akkala_Falls.html,LOCATION
104,Akkala_Highlands.html,LOCATION
105,Akkala_Parade_Ground_Ruins.html,LOCATION
106,Akkala_Sea.html,LOCATION
107,Akkala_Span.html,LOCATION
108,Akkala_Tower.html,LOCATION
109,Akkala_Wilds.html,LOCATION
110,Akrah.html,CHARACTER
111,Alchemy_Stone.html,ITEM
112,Aldo.html,CHARACTER
113,Aldor_Foothills.html,LOCATION
114,Alfonzo.html,CHARACTER
115,Aliza.html,CHARACTER
117,All-Purpose_Bait.html,ITEM
118,All_or_Nothing.html,SHOP
118,All_or_Nothing.html,LOCATION
120,Altar_of_Lord_Jabu-Jabu.html,LOCATION
121,Altar_of_the_Demon_King.html,LOCATION
122,Altar_of_the_Mountain_Goddess.html,LOCATION
123,Amali.html,CHARACTER
124,Amber.html,ITEM
125,Amber_Earrings.html,SHOP
125,Amber_Earrings.html,LOCATION
125,Amber_Earrings.html,ITEM
126,Amber_Relic.html,ITEM
130,Ami.html,LOCATION
130,Ami.html,CHARACTER
131,Amiibo.html,LOCATION
131,Amiibo.html,CHARACTER
131,Amiibo.html,STORE
132,Amiibo_Rune.html,LOCATION
132,Amiibo_Rune.html,SHRINE
133,Amira.html,CHARACTER
134,Ampilus.html,LOCATION
134,Ampilus.html,ENEMY
134,Ampilus.html,CHARACTER
135,Amy.html,CHARACTER
136,An_Ancient_Text.html,LOCATION
136,An_Ancient_Text.html,ITEM
137,An_Ice_Guy.html,QUEST
137,An_Ice_Guy.html,ITEM
138,Anche.html,CHARACTER
139,Ancient_Arrow.html,ITEM
140,Ancient_Barbarian_Tribe.html,LOCATION
144,Ancient_Bladesaw.html,ITEM
146,Ancient_Bridle.html,LOCATION
146,Ancient_Bridle.html,ITEM
147,Ancient_Castle_of_Ikana.html,LOCATION
147,Ancient_Castle_of_Ikana.html,DUNGEON
148,Ancient_Circuit.html,ITEM
149,Ancient_Cistern.html,VIDEOGAME
150,Ancient_Columns.html,LOCATION
151,Ancient_Core.html,ITEM
152,Ancient_Cuirass.html,ITEM
154,Ancient_Flower.html,LOCATION
154,Ancient_Flower.html,ITEM
155,Ancient_Furnace.html,LOCATION
156,Ancient_Gear.html,ITEM
157,Ancient_Gold_Piece.html,ITEM
158,Ancient_Greaves.html,ITEM
159,Ancient_Harbor.html,LOCATION
163,Ancient_Robot.html,RACE
163,Ancient_Robot.html,LOCATION
163,Ancient_Robot.html,CHARACTER
164,Ancient_Robots.html,RACE
164,Ancient_Robots.html,LOCATION
164,Ancient_Robots.html,CHARACTER
166,Ancient_Ruins_(Link's_Awakening).html,LOCATION
167,Ancient_Ruins_(Oracle_of_Seasons).html,LOCATION
168,Ancient_Saddle.html,LOCATION
168,Ancient_Saddle.html,ITEM
171,Ancient_Sea_Chart.html,LOCATION
171,Ancient_Sea_Chart.html,ITEM
174,Ancient_Short_Sword.html,ITEM
175,Ancient_Sky_Book.html,ITEM
180,Ancient_Tablet.html,ITEM
182,Ancient_Tomb.html,LOCATION
182,Ancient_Tomb.html,DUNGEON
183,Ancient_Tree_Stump.html,LOCATION
184,Angel_Peak.html,LOCATION
185,Angler's_Tunnel.html,LOCATION
185,Angler's_Tunnel.html,DUNGEON
187,Angler_Fish_(Link's_Awakening).html,LOCATION
187,Angler_Fish_(Link's_Awakening).html,ENEMY
187,Angler_Fish_(Link's_Awakening).html,CHARACTER
187,Angler_Fish_(Link's_Awakening).html,DUNGEON
188,Angler_Fish_(Oracle_of_Ages).html,ENEMY
188,Angler_Fish_(Oracle_of_Ages).html,CHARACTER
189,Angler_Key.html,DUNGEON
189,Angler_Key.html,LOCATION
189,Angler_Key.html,ITEM
190,Angular_Isles.html,LOCATION
190,Angular_Isles.html,ISLAND
192,Animal_Village.html,LOCATION
193,Anjean.html,CHARACTER
194,Anju's_Grandmother.html,CHARACTER
195,Anju's_Henhouse.html,LOCATION
196,Anju's_Mother.html,CHARACTER
197,Anju.html,CHARACTER
198,Ankel_Island.html,LOCATION
199,Ankle.html,CHARACTER
200,Anly.html,LOCATION
200,Anly.html,CHARACTER
201,Anouki.html,RACE
202,Anouki_Estates.html,LOCATION
203,Anouki_General_Store.html,SHOP
203,Anouki_General_Store.html,LOCATION
204,Anouki_Headband.html,ITEM
206,Anouki_Village_Goron.html,CHARACTER
208,Anti-Fairy.html,CHARACTER
209,Anti-Kirby.html,ENEMY
209,Anti-Kirby.html,CHARACTER
212,Anton_(The_Minish_Cap).html,CHARACTER
213,Anton_(The_Wind_Waker).html,CHARACTER
214,Anubis.html,ENEMY
214,Anubis.html,CHARACTER
215,Apparatus.html,ITEM
216,Apple.html,ITEM
217,Apple_Pie.html,ITEM
218,Applean_Forest.html,LOCATION
221,Aquame_Bridge.html,LOCATION
222,Aquame_Lake.html,LOCATION
224,Aquamentus_(Oracle_of_Seasons).html,ENEMY
224,Aquamentus_(Oracle_of_Seasons).html,CHARACTER
225,Aquamentus_(The_Legend_of_Zelda).html,ENEMY
225,Aquamentus_(The_Legend_of_Zelda).html,CHARACTER
226,Aracha.html,ENEMY
226,Aracha.html,CHARACTER
230,Arbiter's_Grounds__Ranger.html,LOCATION
230,Arbiter's_Grounds__Ranger.html,ITEM
232,Archer.html,ENEMY
232,Archer.html,CHARACTER
233,Ardin.html,CHARACTER
236,Argorok.html,LOCATION
236,Argorok.html,ENEMY
