,name
0,1-up Doll
1,100th Ring
2,15-second Game
3,1986
4,1987
5,1988
6,1989
7,1990
8,1991
9,1992
10,1993
11,1994
12,1995
13,1996
14,1997
15,1998
16,1999
17,2000
18,2001
19,2002
20,2003
21,2004
22,2005
23,2006
24,2007
25,2008
26,2009
27,2010
28,2011
29,2012
30,2013
31,2014
32,2015
33,2016
34,2017
35,2nd Potion
36,Nintendo 3DS
37,8-Bit Fairy
38,8-Bit Rupee
39,A Brother's Roast
40,A Curry for What Ails You
41,A Fragmented Monument
42,A Freezing Rod
43,A Gift for My Beloved
44,A Gift for the Great Fairy
45,A Gift from the Monks
46,A Gift of Nightshade
47,A History of Masks
48,A Hyrulean Bestiary
49,A Landscape of a Stable
50,The Legend of Zelda: A Link Between Worlds
51,The Legend of Zelda: A Link to the Past
52,A Major Test of Strength
53,A Minor Test of Strength
54,A Modest Test of Strength
55,A New Day
56,A Parent's Love
57,A Rare Find
58,A Royal Recipe
59,A Shady Customer
60,A Song of Storms
61,A Wife Washed Away
62,Aba
63,Abandoned North Mine
64,Abe
65,Aboda Village
66,Abyss of Agony
67,Ache
68,Acheman
69,Acorn
70,Acro-Bandit
71,Adlar
72,Adult's Wallet
73,Advance Shop
74,Adventure Mode
75,Adventure Pouch
76,Aeralfos
77,Aeralfos Leather
78,Afromsia Coast
79,Agahnim
80,Agahnim (A Link to the Past)
81,Agahnim (Oracle of Seasons)
82,Age of Burning Fields
83,Age of Chaos
84,Aginah
85,Agitha/Hyrule Warriors
86,Agitha's Basket
87,Agitha's Castle
88,Agitha's Pendant
89,Agitha
90,Agus
91,Air Potion
92,Aji
93,Akh Va'quot
94,Akh Va'quot Shrine
95,Akira Himekawa
96,Akkala
97,Akkala Ancient Tech Lab
98,Akkala Bridge Ruins
99,Akkala Buns
100,Akkala Citadel Ruins
101,Akkala Falls
102,Akkala Highlands
103,Akkala Parade Ground Ruins
104,Akkala Sea
105,Akkala Span
106,Akkala Tower
107,Akkala Wilds
108,Akrah
109,Alchemy Stone
110,Aldo
111,Aldor Foothills
112,Alfonzo
113,Aliza
114,All-Night Mask
115,All-Purpose Bait
116,All or Nothing
117,Altar
118,Altar of Lord Jabu-Jabu
119,Altar of the Demon King
120,Altar of the Mountain Goddess
121,Amali
122,Amber
123,Amber Earrings
124,Amber Relic
125,Ambi's Guards
126,Ambi's Palace
127,Ambrosial Amberjack
128,Ami
129,amiibo
130,amiibo Rune
131,Amira
132,Ampilus
133,Amy
134,An Ancient Text
135,An Ice Guy
136,Anche
137,Ancient Arrow
138,Ancient Barbarian Tribe
139,Ancient Battle Axe
140,Ancient Bladesaw
141,Ancient Bow
142,Ancient Bridle
143,Ancient Castle of Ikana
144,Ancient Circuit
145,Ancient Cistern
146,Ancient Columns
147,Ancient Core
148,Ancient Cuirass
149,Ancient Fish
150,Ancient Flower
151,Ancient Furnace
152,Ancient Gear
153,Ancient Gold Piece
154,Ancient Greaves
155,Ancient Harbor
156,Ancient Helm
157,Ancient Materials
158,Ancient Ones
159,Ancient Robot
160,Ancient Ruins
161,Ancient Ruins (Link's Awakening)
162,Ancient Ruins (Oracle of Seasons)
163,Ancient Saddle
164,Ancient Sages
165,Ancient Screw
166,Ancient Sea Chart
167,Ancient Shaft
168,Ancient Shield
169,Ancient Short Sword
170,Ancient Sky Book
171,Ancient Soldier Gear
172,Ancient Spear
173,Ancient Spring
174,Ancient Tablet
175,Ancient Tech Lab
176,Ancient Tomb
177,Ancient Tree Stump
178,Angel Peak
179,Angler's Tunnel
180,Angler Fish
181,Angler Fish (Link's Awakening)
182,"Angler Fish (Oracle of Ages)

"
183,Angler Key
184,Angular Isles
185,Animal Troupe
186,Animal Village
187,Anjean
188,Anju's Grandmother
189,Anju's Henhouse
190,Anju's Mother
191,Anju
192,Ankel Island
193,Ankle
194,Anly
195,Anouki
196,Anouki Estates
197,Anouki General Store
198,Anouki Headband
199,Anouki Village
200,Anouki Village Goron
201,Ant
202,Anti-Fairy
203,Anti-Kirby
204,Antique Coin
205,Anton
206,Anton (The Minish Cap)
207,Anton (The Wind Waker)
208,Anubis
209,Apparatus
210,Apple
211,Apple Pie
212,Applean Forest
213,Apps Technical Updates
214,Aqua Crown
215,Aquame Bridge
216,Aquame Lake
217,Aquamentus
218,Aquamentus (Oracle of Seasons)
219,Aquamentus (The Legend of Zelda)
220,Aracha
221,Arbiter's Grounds
222,Arbiter's Grounds (Breath of the Wild)
223,Arbiter's Grounds (Twilight Princess)
224,Arbiter's Grounds: Ranger
225,Arcadia
226,Hyrule Guard
227,Ardin
228,Argorok's Embers
229,Argorok's Stone
230,Argorok
231,Ariane
232,Aris Beach
233,Arm Mimic
234,Armes
235,Armogohma
236,Armor
237,Armor Ring
238,Armor Ring L-1
239,Armor Ring L-2
240,Armor Ring L-3
241,Armor Seed
242,Armoranth
243,Armored Carp
244,Armored Helmet
245,Armored Porgy
246,Armored Top
247,Armored Train
248,Armored Trousers
249,Armorer
250,Armos
251,Armos Knight
252,Armos Knight (Link's Awakening)
253,Armos Knights
254,Armos Series
255,Armos Spirit
256,Armos Statue
257,Armos Titan
258,Armos Warrior
259,Arn
260,Aroo
261,Arrghus
262,Arrghus (A Link Between Worlds)
