id,name,page
1,Community:Glossary,-fos.html
2,Items in Freshly-Picked Tingle's Rosy Rupeeland,10-Man_Slicer.html
3,100% Completion,100%_Completion.html
4,Items in Freshly-Picked Tingle's Rosy Rupeeland,2-Star_Sticker.html
5,2nd Potion,2nd_Potion.html
6,Items in Freshly-Picked Tingle's Rosy Rupeeland,3-Star_Sticker.html
7,Nintendo 3DS,3DS.html
8,Category:3D games,3D_Zelda_games.html
9,Demon Blade,8-Bit_Arrow.html
10,Book of Sorcery,8-Bit_Book_of_Magic.html
11,Giant Blade,8-Bit_Boomerang_.html
12,Magic Rod,8-Bit_Candle.html
13,Zora Scale,8-Bit_Clock.html
14,Summoning Gate,8-Bit_Compass.html
15,Great Fairy (Item),8-Bit_Fairy.html
16,Hammer,8-Bit_Food.html
17,amiibo,8-Bit_Link_amiibo.html
18,Scimitars,8-Bit_Magic_Boomerang.html
19,Great Swords,8-Bit_Magical_Key.html
20,Spear,8-Bit_Magical_Rod_.html
21,Naginata,8-Bit_Magical_Sword_.html
22,Gauntlets,8-Bit_Power_Bracelet.html
23,Baton,8-Bit_Recorder.html
24,Shackle,8-Bit_Red_Ring.html
25,Parasol,8-Bit_Rupee.html
26,Goddess Blade,8-Bit_Silver_Arrow.html
27,Harp,8-Bit_Stepladder.html
28,Rapier,8-Bit_White_Sword_.html
29,Hylian Sword,8-Bit_Wooden_Sword.html
30,Items in Freshly-Picked Tingle's Rosy Rupeeland,999-Man_Slicer.html
31,Controller Buttons,A-Button.html
32,The Legend of Zelda: A Link to the Past,ALttP.html
33,A Brother's Roast,A_Brother's_Roast.html
34,A Fragmented Monument,A_Fragmented_Monument.html
35,Library Books,A_History_of_Masks.html
36,Hitch in the Works,A_Hitch_in_the_Works.html
37,A Landscape of a Stable,A_Landscape_of_a_Stable.html
38,The Legend of Zelda: A Link Between Worlds,A_Link_Between_Worlds.html
39,A Link Between Worlds Translations/All,A_Link_Between_Worlds_Translations%2FAll.html
40,A Link Between Worlds Translations/Characters,A_Link_Between_Worlds_Translations%2FCharacters.html
41,A Link Between Worlds Translations/Items,A_Link_Between_Worlds_Translations%2FItems.html
42,A Link Between Worlds Translations/Locations,A_Link_Between_Worlds_Translations%2FLocations.html
43,A Link Between Worlds Translations/Miscellaneous,A_Link_Between_Worlds_Translations%2FMiscellaneous.html
44,A Link Between Worlds Translations,A_Link_Between_Worlds_Translations.html
45,The Legend of Zelda: A Link to the Past,A_Link_to_the_Past.html
46,A Link to the Past (Disambiguation),A_Link_to_the_Past_(Disambiguation).html
47,The Legend of Zelda: A Link to the Past/Credits,A_Link_to_the_Past_Credits.html
48,A Link to the Past Translations/All,A_Link_to_the_Past_Translations%2FAll.html
49,A Link to the Past Translations/Characters,A_Link_to_the_Past_Translations%2FCharacters.html
50,A Link to the Past Translations/Enemies,A_Link_to_the_Past_Translations%2FEnemies.html
51,A Link to the Past Translations/Items,A_Link_to_the_Past_Translations%2FItems.html
52,A Link to the Past Translations/Locations,A_Link_to_the_Past_Translations%2FLocations.html
53,A Link to the Past Translations/Miscellaneous,A_Link_to_the_Past_Translations%2FMiscellaneous.html
54,A Link to the Past Translations,A_Link_to_the_Past_Translations.html
55,A Major Test of Strength,A_Major_Test_of_Strength.html
56,A Minor Test of Strength,A_Minor_Test_of_Strength.html
57,A Modest Test of Strength,A_Modest_Test_of_Strength.html
58,New Day,A_New_Day.html
59,A New Disturbance,A_New_Disturbance.html
60,A Parent's Love,A_Parent's_Love.html
61,Recovered Memory,A_Premonition.html
62,A War of Spirit,A_War_of_Spirit.html
63,Items in Freshly-Picked Tingle's Rosy Rupeeland,Aba's_Knife.html
64,Aba,Aba.html
65,Abandoned North Mine,Abandoned_North_Mine.html
66,Abe,Abe.html
67,Aboda Village,Aboda_Village.html
68,Aboda Village,Aboda_Village_Father.html
69,Aboda Village,Aboda_Village_Mother.html
70,Abominom,Abominom.html
71,Abyss of Agony,Abyss_of_Agony.html
72,Category:Accuracy disputes,Accuracy_dispute.html
73,Ache,Ache.html
74,Acheman,Acheman.html
75,Acorn,Acorn.html
76,Acro-Bandits,Acro-Bandits.html
77,Adlar,Adlar.html
78,Community:Administrator (LoZ.com),Administrator_(LoZ.html
79,Community:Administrator (ZT),Administrator_(ZT).html
80,Zelda Wiki:Staff,Administrators.html
81,Wallet,Adult's_Wallet.html
82,Link,Adult_Link.html
83,Zelda Timeline,Adult_Timeline.html
84,Wallet,Adult_Wallet.html
85,Advance Shop,Advance_Shop.html
86,Adventure Log,Adventure_Log.html
87,Adventure Map/Faron Woods (Hyrule Warriors: Definitive Edition),Adventure_Map%2FFaron_Woods_(Hyrule_Warriors__Definitive_Edition).html
88,Adventure Map/Hyrule Field (Hyrule Warriors: Definitive Edition),Adventure_Map%2FHyrule_Field_(Hyrule_Warriors__Definitive_Edition).html
89,Adventure Mode,Adventure_Map.html
90,Adventure Mode,Adventure_Mode.html
91,Pouch,Adventure_Pouch.html
92,Zelda II: The Adventure of Link,Adventure_of_Link.html
93,Advertisements for The Legend of Zelda Series,Advertisements_for_The_Legend_of_Zelda_Series.html
94,Aeralfos,Aeralfos.html
95,Material,Aeralfos_Leather.html
96,Items in Freshly-Picked Tingle's Rosy Rupeeland,Aero_Wing.html
97,Shadow Nightmares,Agahnim's_Shadow.html
98,Hyrule Castle Tower,Agahnim's_Tower.html
99,Agahnim,Agahnim.html
100,Aginah,Aginah.html
101,Material,Agitha's_Basket.html
102,Agitha's Castle,Agitha's_Castle.html
103,Material,Agitha's_Pendant.html
104,Agitha,Agitha.html
105,Agunima,Agunima.html
106,Agus,Agus.html
107,Agwanda,Agwanda.html
108,Ahitaru,Ahitaru.html
109,Air Cannon,Air_Cannon.html
110,Oxygen Gauge,Air_Gauge.html
111,Air Potion,Air_Potion.html
112,Air Potion,Air_Potion_+.html
113,Air Stone,Air_Stone.html
114,Aji,Aji.html
115,Akh Va'quot,Akh_Va'quot.html
116,Akh Va'quot Shrine,Akh_Va'quot_Shrine.html
117,Akiko,Akiko.html
118,Akiko Koumoto,Akiko_Koumoto.html
119,Akira Himekawa,Akira_Himekawa.html
120,Akira Sasanuma,Akira_Sasanuma.html
121,Akkala,Akkala.html
122,Akkala Citadel Ruins,Akkala_Citadel_Ruins.html
123,Akkala Tower,Akkala_Tower.html
124,Skett and Akoot,Akoot.html
125,Treasure,Alchemy_Stone.html
126,Aldo,Aldo.html
127,Aldo (Korok),Aldo_(Korok).html
128,Aldo (The Crystal Trap),Aldo_(The_Crystal_Trap).html
129,Aldor Foothills,Aldor_Foothills.html
130,Alf,Alf.html
131,Alfonzo's Train,Alfonzo's_Train.html
132,Alfonzo,Alfonzo.html
133,All-Night Mask,All-Night_Mask.html
134,All-Purpose Bait,All-Purpose_Bait.html
135,Keep,Allied_Base.html
136,Forces,Allied_Force.html
137,Alora,Alora.html
138,Altar,Altar.html
139,Altar of the Demon King,Altar_of_the_Demon_King.html
140,Altar of the Mountain Goddess,Altar_of_the_Mountain_Goddess.html
141,Amali,Amali.html
142,Amber,Amber.html
143,Amber Earrings,Amber_Earrings.html
144,Treasure,Amber_Relic.html
145,Ancient Tablet,Amber_Tablet.html
146,Ambi's Palace,Ambi's_Palace.html
147,Black Tower,Ambi's_Tower.html
148,Queen Ambi,Ambi.html
149,Ambrosia Lite,Ambrosia_Lite.html
