id,name,page
1,1-up Doll,1-up_Doll.html
2,100th Ring,100th_Ring.html
3,15-second Game,15-second_Game.html
4,1986,1986.html
5,1987,1987.html
6,1988,1988.html
7,1989,1989.html
8,1990,1990.html
9,1991,1991.html
10,1992,1992.html
11,1993,1993.html
12,1994,1994.html
13,1995,1995.html
14,1996,1996.html
15,1997,1997.html
16,1998,1998.html
17,1999,1999.html
18,2000,2000.html
19,2001,2001.html
20,2002,2002.html
21,2003,2003.html
22,2004,2004.html
23,2005,2005.html
24,2006,2006.html
25,2007,2007.html
26,2008,2008.html
27,2009,2009.html
28,2010,2010.html
29,2011,2011.html
30,2012,2012.html
31,2013,2013.html
32,2014,2014.html
33,2015,2015.html
34,2016,2016.html
35,2017,2017.html
36,2nd Potion,2nd_Potion.html
37,Nintendo 3DS,3DS.html
38,8-Bit Fairy,8-Bit_Fairy.html
39,8-Bit Rupee,8-Bit_Rupee.html
40,A Brother's Roast,A_Brother's_Roast.html
41,A Curry for What Ails You,A_Curry_for_What_Ails_You.html
42,A Fragmented Monument,A_Fragmented_Monument.html
43,A Freezing Rod,A_Freezing_Rod.html
44,A Gift for My Beloved,A_Gift_for_My_Beloved.html
45,A Gift for the Great Fairy,A_Gift_for_the_Great_Fairy.html
46,A Gift from the Monks,A_Gift_from_the_Monks.html
47,A Gift of Nightshade,A_Gift_of_Nightshade.html
48,A History of Masks,A_History_of_Masks.html
49,A Hyrulean Bestiary,A_Hyrulean_Bestiary.html
50,A Landscape of a Stable,A_Landscape_of_a_Stable.html
51,The Legend of Zelda: A Link Between Worlds,A_Link_Between_Worlds.html
52,The Legend of Zelda: A Link to the Past,A_Link_to_the_Past.html
53,A Major Test of Strength,A_Major_Test_of_Strength.html
54,A Minor Test of Strength,A_Minor_Test_of_Strength.html
55,A Modest Test of Strength,A_Modest_Test_of_Strength.html
56,A New Day,A_New_Day.html
57,A Parent's Love,A_Parent's_Love.html
58,A Rare Find,A_Rare_Find.html
59,A Royal Recipe,A_Royal_Recipe.html
60,A Shady Customer,A_Shady_Customer.html
61,A Song of Storms,A_Song_of_Storms.html
62,A Wife Washed Away,A_Wife_Washed_Away.html
63,Aba,Aba.html
64,Abandoned North Mine,Abandoned_North_Mine.html
65,Abe,Abe.html
66,Aboda Village,Aboda_Village.html
67,Abyss of Agony,Abyss_of_Agony.html
68,Ache,Ache.html
69,Acheman,Acheman.html
70,Acorn,Acorn.html
71,Acro-Bandit,Acro-Bandit.html
72,Adlar,Adlar.html
73,Adult's Wallet,Adult's_Wallet.html
74,Advance Shop,Advance_Shop.html
75,Adventure Mode,Adventure_Mode.html
