page,entity,year
1-up_Doll.html,Zelda_II__The_Adventure_of_Link.html,1988.html
100th_Ring.html,The_Legend_of_Zelda__Oracle_of_Seasons.html,2001.html
15-second_Game.html,The_Legend_of_Zelda__A_Link_to_the_Past.html,1992.html
2nd_Potion.html,The_Legend_of_Zelda.html,1987.html
8-Bit_Fairy.html,Hyrule_Warriors.html,2014.html
8-Bit_Rupee.html,Hyrule_Warriors.html,2014.html
A_Gift_from_the_Monks.html,The_Legend_of_Zelda__Breath_of_the_Wild.html,2017.html
A_Shady_Customer.html,The_Legend_of_Zelda__Breath_of_the_Wild.html,2017.html
A_Song_of_Storms.html,The_Legend_of_Zelda__Breath_of_the_Wild.html,2017.html
Aba.html,Freshly-Picked_Tingle%27s_Rosy_Rupeeland.html,2006.html
Abandoned_North_Mine.html,The_Legend_of_Zelda__Breath_of_the_Wild.html,2017.html
Abe.html,The_Legend_of_Zelda__The_Wind_Waker.html,2003.html
Aboda_Village.html,The_Legend_of_Zelda__Spirit_Tracks.html,2009.html
Abyss_of_Agony.html,The_Legend_of_Zelda__Tri_Force_Heroes.html,2015.html
Ache.html,Zelda_II__The_Adventure_of_Link.html,1988.html
Acheman.html,Zelda_II__The_Adventure_of_Link.html,1988.html
Acorn.html,The_Legend_of_Zelda__Breath_of_the_Wild.html,2017.html
Acro-Bandit.html,The_Legend_of_Zelda__The_Minish_Cap.html,2005.html
Adlar.html,The_Legend_of_Zelda__Oracle_of_Ages.html,2001.html
Adult's_Wallet.html,The_Legend_of_Zelda__Ocarina_of_Time.html,1998.html
Advance_Shop.html,The_Legend_of_Zelda__Oracle_of_Seasons.html,2001.html
Adventure_Pouch.html,The_Legend_of_Zelda__Skyward_Sword.html,2011.html
Aeralfos.html,The_Legend_of_Zelda__Twilight_Princess.html,2006.html
Aeralfos_Leather.html,Hyrule_Warriors.html,2014.html
Afromsia_Coast.html,The_Legend_of_Zelda__Breath_of_the_Wild.html,2017.html
Agahnim.html,The_Legend_of_Zelda__A_Link_to_the_Past.html,1992.html
Agahnim_(A_Link_to_the_Past).html,The_Legend_of_Zelda__A_Link_to_the_Past.html,1992.html
Agahnim_(Oracle_of_Seasons).html,The_Legend_of_Zelda__Oracle_of_Seasons.html,2001.html
Age_of_Burning_Fields.html,The_Legend_of_Zelda__Breath_of_the_Wild.html,2017.html
Aginah.html,The_Legend_of_Zelda__A_Link_to_the_Past.html,1992.html
Agitha's_Basket.html,The_Legend_of_Zelda__Twilight_Princess.html,2006.html
Agitha's_Castle.html,The_Legend_of_Zelda__Twilight_Princess.html,2006.html
Agitha's_Pendant.html,The_Legend_of_Zelda__Twilight_Princess.html,2006.html
Agitha.html,The_Legend_of_Zelda__Twilight_Princess.html,2006.html
Agus.html,The_Legend_of_Zelda__Breath_of_the_Wild.html,2017.html
Air_Potion.html,The_Legend_of_Zelda__Skyward_Sword.html,2011.html
