object,relation,page
15-second_Game.html,LOCATION,Kakariko_Village.html
8-Bit_Power_Bracelet.html,LOCATION,Ganon%27s_Castle.html
8-Bit_Power_Bracelet.html,LOCATION,Spirit_Temple.html
8-Bit_Wooden_Sword.html,LOCATION,Sealed_Grounds_(Hyrule_Warriors).html
8-Bit_Wooden_Sword.html,LOCATION,Shining_Beacon.html
A_Gift_from_the_Monks.html,LOCATION,Forgotten_Temple.html
A_New_Day.html,LOCATION,Termina.html
A_Shady_Customer.html,LOCATION,East_Akkala_Stable.html
A_Song_of_Storms.html,LOCATION,Calora_Lake.html
Aba.html,HOMELAND,First_Continent.html
Abandoned_North_Mine.html,COUNTRY,Hyrule.html
Abandoned_North_Mine.html,REGION,Eldin_Canyon.html
Abe.html,HOMELAND,Great_Sea.html
Abe.html,HOMETOWN,Outset_Island.html
Aboda_Village.html,COUNTRY,New_Hyrule.html
Aboda_Village.html,REGION,Forest_Realm.html
Abyss_of_Agony.html,COUNTRY,Hytopia.html
Abyss_of_Agony.html,LOCATION,Drablands.html
Abyss_of_Agony.html,REGION,Riverside.html
Adlar.html,HOMELAND,Labrynna.html
Advance_Shop.html,LOCATION,Horon_Village.html
Advance_Shop.html,LOCATION,Lynna_City.html
Aeralfos.html,LOCATION,Cave_of_Ordeals.html
Aeralfos.html,LOCATION,City_in_the_Sky.html
Aeralfos.html,LOCATION,Hyrule_Castle_(Twilight_Princess).html
Aeralfos.html,LOCATION,Sky_Realm.html
Afromsia_Coast.html,COUNTRY,Hyrule.html
Afromsia_Coast.html,REGION,East_Necluda.html
Agahnim's_Tower.html,LOCATION,Hyrule_Castle.html
Agahnim_(A_Link_to_the_Past).html,LOCATION,Ganon%27s_Tower_(A_Link_to_the_Past).html
Agahnim_(A_Link_to_the_Past).html,LOCATION,Hyrule_Castle_Tower.html
Agahnim_(Oracle_of_Seasons).html,LOCATION,Dancing_Dragon_Dungeon.html
Age_of_Burning_Fields.html,COUNTRY,Hyrule.html
Age_of_Burning_Fields.html,REGION,Hyrule.html
Aginah.html,HOMELAND,Hyrule.html
Agitha's_Castle.html,COUNTRY,Hyrule.html
Agitha's_Castle.html,REGION,Hyrule_Castle_Town.html
Agitha.html,HOMELAND,Hyrule.html
Agitha.html,HOMETOWN,Hyrule_Castle_Town.html
Agus.html,HOMELAND,Hyrule.html
Agus.html,HOMETOWN,Hateno_Village.html
Air_Potion.html,LOCATION,Luv_and_Bertie%27s_Potion_Shop.html
