,url
0,1-up_Doll.html
1,100th_Ring.html
2,15-second_Game.html
3,1986.html
4,1987.html
5,1988.html
6,1989.html
7,1990.html
8,1991.html
9,1992.html
10,1993.html
11,1994.html
12,1995.html
13,1996.html
14,1997.html
15,1998.html
16,1999.html
17,2000.html
18,2001.html
19,2002.html
20,2003.html
21,2004.html
22,2005.html
23,2006.html
24,2007.html
25,2008.html
26,2009.html
27,2010.html
28,2011.html
29,2012.html
30,2013.html
31,2014.html
32,2015.html
33,2016.html
34,2017.html
35,2nd_Potion.html
36,3DS.html
37,8-Bit_Fairy.html
38,8-Bit_Rupee.html
39,A_Brother's_Roast.html
40,A_Curry_for_What_Ails_You.html
41,A_Fragmented_Monument.html
42,A_Freezing_Rod.html
43,A_Gift_for_My_Beloved.html
44,A_Gift_for_the_Great_Fairy.html
45,A_Gift_from_the_Monks.html
46,A_Gift_of_Nightshade.html
47,A_History_of_Masks.html
48,A_Hyrulean_Bestiary.html
49,A_Landscape_of_a_Stable.html
50,A_Link_Between_Worlds.html
51,A_Link_to_the_Past.html
52,A_Major_Test_of_Strength.html
53,A_Minor_Test_of_Strength.html
54,A_Modest_Test_of_Strength.html
55,A_New_Day.html
56,A_Parent's_Love.html
57,A_Rare_Find.html
58,A_Royal_Recipe.html
59,A_Shady_Customer.html
60,A_Song_of_Storms.html
61,A_Wife_Washed_Away.html
62,Aba.html
63,Abandoned_North_Mine.html
64,Abe.html
65,Aboda_Village.html
66,Abyss_of_Agony.html
67,Ache.html
68,Acheman.html
69,Acorn.html
70,Acro-Bandit.html
71,Adlar.html
72,Adult's_Wallet.html
73,Advance_Shop.html
74,Adventure_Mode.html
75,Adventure_Pouch.html
76,Aeralfos.html
77,Aeralfos_Leather.html
78,Afromsia_Coast.html
79,Agahnim.html
80,Agahnim_(A_Link_to_the_Past).html
81,Agahnim_(Oracle_of_Seasons).html
82,Age_of_Burning_Fields.html
83,Age_of_Chaos.html
84,Aginah.html
85,Agitha%2FHyrule_Warriors.html
86,Agitha's_Basket.html
87,Agitha's_Castle.html
88,Agitha's_Pendant.html
89,Agitha.html
90,Agus.html
91,Air_Potion.html
92,Aji.html
93,Akh_Va'quot.html
94,Akh_Va'quot_Shrine.html
95,Akira_Himekawa.html
96,Akkala.html
97,Akkala_Ancient_Tech_Lab.html
98,Akkala_Bridge_Ruins.html
99,Akkala_Buns.html
100,Akkala_Citadel.html
101,Akkala_Citadel_Ruins.html
102,Akkala_Falls.html
103,Akkala_Highlands.html
104,Akkala_Parade_Ground_Ruins.html
105,Akkala_Sea.html
106,Akkala_Span.html
107,Akkala_Tower.html
108,Akkala_Wilds.html
109,Akrah.html
110,Alchemy_Stone.html
111,Aldo.html
112,Aldor_Foothills.html
113,Alfonzo.html
114,Aliza.html
115,All-Night_Mask.html
116,All-Purpose_Bait.html
117,All_or_Nothing.html
118,Altar.html
119,Altar_of_Lord_Jabu-Jabu.html
120,Altar_of_the_Demon_King.html
121,Altar_of_the_Mountain_Goddess.html
122,Amali.html
123,Amber.html
124,Amber_Earrings.html
125,Amber_Relic.html
126,Ambi's_Guards.html
127,Ambi's_Palace.html
128,Ambrosial_Amberjack.html
129,Ami.html
130,Amiibo.html
131,Amiibo_Rune.html
132,Amira.html
133,Ampilus.html
134,Amy.html
135,An_Ancient_Text.html
136,An_Ice_Guy.html
137,Anche.html
138,Ancient_Arrow.html
139,Ancient_Barbarian_Tribe.html
140,Ancient_Battle_Axe++.html
